List Number	Author	Author Wikidata ID	Author GND ID	Title	Subtitle	Pages	Publication Date	Date of first performance	Location of first performance	Work Wikidata ID	Work Goodreads ID	Work GND ID	DraCor ID
163	Heinrich Ferdinand Möller	http://www.wikidata.org/entity/Q1470618	https://d-nb.info/gnd/10037784X	Der Graf von Walltron, oder die Subordination	Ein Originaltrauerspiel in fünf Aufzügen	221–222	1776	1776-01-25	Prag	http://www.wikidata.org/entity/Q114711538			https://dracor.org/id/ger000593
164	Karl Philipp Moritz	http://www.wikidata.org/entity/Q215781	https://d-nb.info/gnd/118584162	Blunt oder der Gast	Fragment	222–223	1780	1986-12-12	Heidelberg	http://www.wikidata.org/entity/Q105729385		https://d-nb.info/gnd/4409394-9	https://dracor.org/id/ger000528
165	Justus Möser	http://www.wikidata.org/entity/Q65087	https://d-nb.info/gnd/11858314X	Arminius	Ein Trauerspiel	224–225	1749	1750	Wien	http://www.wikidata.org/entity/Q27507972			
166	Justus Möser	http://www.wikidata.org/entity/Q65087	https://d-nb.info/gnd/11858314X	Die Tugend auf der Schaubühne; oder: Harlekin’s Heirath	Ein Nachspiel in einem Aufzuge	225–226	1798	1765-04	Osnabrück	http://www.wikidata.org/entity/Q84606039			https://dracor.org/id/ger000481
167	Friedrich Müller	http://www.wikidata.org/entity/Q481491	https://d-nb.info/gnd/118584871	Fausts Leben		226–227	1778			http://www.wikidata.org/entity/Q111396487		https://d-nb.info/gnd/1200434315	https://dracor.org/id/ger000561
168	Karl Müller von Friedberg	http://www.wikidata.org/entity/Q1230748	https://d-nb.info/gnd/118785257	Das gerettete Helvetien oder Orgetorix	Ein Staats-Trauerspiel in fünf Aufzügen	227–228	1779						
169	Christlob Mylius	http://www.wikidata.org/entity/Q109405	https://d-nb.info/gnd/11858605X	Die Aerzte	Ein Lustspiel in fünf Aufzügen	228–230	1745			http://www.wikidata.org/entity/Q137361401			
170	Anton Nagel	http://www.wikidata.org/entity/Q26311101	https://d-nb.info/gnd/119257394	Der Bürgeraufruhr in Landshut		230–231	1782						
171	Friederike Caroline Neuber	http://www.wikidata.org/entity/Q68316	https://d-nb.info/gnd/118738577	Das Schäferfest oder die Herbstfreude	Ein deutsches Lustspiel in Versen	231–233		1753-10-15	Wien	http://www.wikidata.org/entity/Q56449055			https://dracor.org/id/ger000122
172	Johann Samuel Patzke	http://www.wikidata.org/entity/Q1696085	https://d-nb.info/gnd/115535918	Virginia	Ein Trauerspiel	233–234	1755			http://www.wikidata.org/entity/Q3820061		https://d-nb.info/gnd/1069606103	
173	Joseph Bernhard Pelzel	http://www.wikidata.org/entity/Q55858581	https://d-nb.info/gnd/12200308X	Yariko	Ein Trauerspiel in einer Handlung	234–235	1770	1771-06-01	Wien	http://www.wikidata.org/entity/Q133270117			https://dracor.org/id/ger000742
174	(Friedwart) Konrad Kasimir Pfaiffenberger	http://www.wikidata.org/entity/	https://d-nb.info/gnd/	Gottgetreu, oder die verhinderte Unthat		236–237	1787			http://www.wikidata.org/entity/Q137358761			
175	Gottlieb Konrad Pfeffel	http://www.wikidata.org/entity/Q77742	https://d-nb.info/gnd/118740709	Der Einsiedler	Ein Trauerspiel in Versen von einem Aufzuge	237–238	1761			http://www.wikidata.org/entity/Q133270066			
176	Gottlieb Konrad Pfeffel	http://www.wikidata.org/entity/Q77742	https://d-nb.info/gnd/118740709	Der Schatz	Ein Schäferspiel	238	1761			http://www.wikidata.org/entity/Q56255327		https://d-nb.info/gnd/1121946461	https://dracor.org/id/ger000249
177	Johann Gottlob Benjamin Pfeil	http://www.wikidata.org/entity/Q1256273	https://d-nb.info/gnd/115546456	Lucie Woodvil	Ein bürgerliches Trauerspiel in fünf Handlungen	239	1756	1756-08	Danzig	http://www.wikidata.org/entity/Q55148569		https://d-nb.info/gnd/1199323160	https://dracor.org/id/ger000215
178	Picander (= Christian Friedrich Henrici)	http://www.wikidata.org/entity/Q60613	https://d-nb.info/gnd/108359573	Die Weiber-Probe oder die Untreue der Ehe-Frauen in einem Schau-Spiele vorgestellet		240–241	1725						
179	Friedrich Lebegott Pitschel	http://www.wikidata.org/entity/Q60840682	https://d-nb.info/gnd/117689769	Darius	Ein Trauerspiel in fünf Aufzügen	241–242	1741	1751	Wien	http://www.wikidata.org/entity/Q95569070			
180	Karl Martin Plümicke	http://www.wikidata.org/entity/Q1543650	https://d-nb.info/gnd/116246871	Henriette, oder der Husarenraub	Ein Schauspiel, in fünf Akten	243–244	1780	1779-05-24	Berlin				
181	Karl Martin Plümicke	http://www.wikidata.org/entity/Q1543650	https://d-nb.info/gnd/116246871	Lanassa	Trauerspiel in fünf Akten	244	1782	1781-11-10	Berlin				
182	Theodor Johann Quistorp	http://www.wikidata.org/entity/Q1749663	https://d-nb.info/gnd/100540856	Aurelius, oder Denkmaal der Zärtlichkeit	Ein Trauerspiel	245–246	1743	1762	Wien				
183	Theodor Johann Quistorp	http://www.wikidata.org/entity/Q1749663	https://d-nb.info/gnd/100540856	Der Bock im Processe	Ein Lustspiel von fünf Aufzügen	246–247	1744						
184	Theodor Johann Quistorp	http://www.wikidata.org/entity/Q1749663	https://d-nb.info/gnd/100540856	Der Hypochondrist	Ein deutsches Lustspiel. In fünf Aufzügen	247–248	1745	1747	Hannover	http://www.wikidata.org/entity/Q51406156			https://dracor.org/id/ger000192
185	Karl von Reitzenstein	http://www.wikidata.org/entity/Q1492880	https://d-nb.info/gnd/104315474	Die Negersklaven	Ein Trauerspiel in fünf Aufzügen	248–249	1793			http://www.wikidata.org/entity/Q133374196		https://d-nb.info/gnd/121268494X	https://dracor.org/id/ger000734
186	Christian Reuter	http://www.wikidata.org/entity/Q103304	https://d-nb.info/gnd/118744690	Graf Ehrenfried in einem Lust-Spiele vorgestellet		250–251	1700	1700-05-13	Leipzig				
187	Karl Franz Romanus	http://www.wikidata.org/entity/Q84561647	https://d-nb.info/gnd/101054440	Crispin als Vater		251–252	1761	1756-04	Leipzig				
188	Emanuel Schikaneder	http://www.wikidata.org/entity/Q213547	https://d-nb.info/gnd/11860757X	Hanns Dollinger, oder das heimliche Blutgericht	Ein Schauspiel in 3 Aufzügen	252–253	1792	1788-07-20	Regensburg				
189	Emanuel Schikaneder	http://www.wikidata.org/entity/Q213547	https://d-nb.info/gnd/11860757X	Philippine Welserinn, die schöne Herzoginn von Tyrol	Ein Schauspiel in fünf Aufzügen	253–254	1792	1780					
190	Friedrich Schiller	http://www.wikidata.org/entity/Q22670	https://d-nb.info/gnd/118607626	Dom Karlos Infant von Spanien		254–256	1787	1787-08-29	Hamburg	http://www.wikidata.org/entity/Q498408		https://d-nb.info/gnd/4130120-1	https://dracor.org/id/ger000217
191	Friedrich Schiller	http://www.wikidata.org/entity/Q22670	https://d-nb.info/gnd/118607626	Ich habe mich rasieren lassen	Ein dramatischer Scherz	256–257	1862	1787-07-02	Dresden				
192	Friedrich Schiller	http://www.wikidata.org/entity/Q22670	https://d-nb.info/gnd/118607626	Kabale und Liebe	Ein bürgerliches Trauerspiel in fünf Aufzügen	257–259	1784	1784-04-13	Frankfurt am Main	http://www.wikidata.org/entity/Q263150	https://www.goodreads.com/work/editions/927272	https://d-nb.info/gnd/4099337-1	https://dracor.org/id/ger000096
193	Friedrich Schiller	http://www.wikidata.org/entity/Q22670	https://d-nb.info/gnd/118607626	Die Räuber	Ein Schauspiel	259–261	1781	1782-01-13	Mannheim	http://www.wikidata.org/entity/Q466333	https://www.goodreads.com/work/editions/6226708	https://d-nb.info/gnd/4099339-5	https://dracor.org/id/ger000008
194	Friedrich Schiller	http://www.wikidata.org/entity/Q22670	https://d-nb.info/gnd/118607626	Die Verschwörung des Fiesko zu Genua	Ein republikanisches Trauerspiel	261–263	1783	1783-07-20	Bonn	http://www.wikidata.org/entity/Q382941	https://www.goodreads.com/work/editions/1573372	https://d-nb.info/gnd/4255626-0	https://dracor.org/id/ger000451
195	Friedrich Schiller	http://www.wikidata.org/entity/Q22670	https://d-nb.info/gnd/118607626	Wallenstein	Ein dramatisches Gedicht	263–265	1800	1798-10-12	Weimar	http://www.wikidata.org/entity/Q525580		https://d-nb.info/gnd/4099340-1	
196	Johann Friedrich Schink	http://www.wikidata.org/entity/Q15873118	https://d-nb.info/gnd/118607774	Adelstan und Röschen	Ein Trauerspiel mit Gesang	266–267	1776						
197	Johann Friedrich Schink	http://www.wikidata.org/entity/Q15873118	https://d-nb.info/gnd/118607774	Gianetta Montaldi	Ein Trauerspiel in fünf Aufzügen	267–268	1777	1775	Hamburg	http://www.wikidata.org/entity/Q133310453			
198	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Canut	Ein Trauerspiel in fünf Aufzügen	268–269	1746	1745					
199	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Dido	Ein Trauerspiel	270–271	1744						
200	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Der geschäfftige Müßiggänger	Ein Lustspiel	271–272	1743			http://www.wikidata.org/entity/Q55998437			https://dracor.org/id/ger000397
201	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Herrmann	Ein Trauerspiel	273–275	1743	1743					
202	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Lucretia	Ein prosaisches Trauerspiel	275–276	1773			http://www.wikidata.org/entity/Q1398793		https://d-nb.info/gnd/4411362-6	
203	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Orest und Pylades	Trauerspiel in fünf Aufzügen	276–277	1771	1739	Leipzig				
204	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Die stumme Schönheit	Ein Lustspiel in einem Aufzuge	277–278	1747	1754-06-05	Hamburg	http://www.wikidata.org/entity/Q55998571		https://d-nb.info/gnd/1270098640	https://dracor.org/id/ger000328
205	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Der Triumpf der guten Frauen	Ein Lustspiel in fünf Aufzügen	278–279	1748						
206	Johann Elias Schlegel	http://www.wikidata.org/entity/Q67322	https://d-nb.info/gnd/118608002	Die Trojanerinnen	Ein Trauerspiel	279–280	1747	1737	Pforta				
207	Christoph Otto von Schönaich	http://www.wikidata.org/entity/Q1085615	https://d-nb.info/gnd/108972755	Mariamne und Herodes	Ein Trauerspiel	281–282	1754			http://www.wikidata.org/entity/Q56448192		https://d-nb.info/gnd/4297163-9	https://dracor.org/id/ger000101
208	Christoph Otto von Schönaich	http://www.wikidata.org/entity/Q1085615	https://d-nb.info/gnd/108972755	Thußnelde und Hermann	Ein Trauerspiel	282–283	1754						
209	Friedrich Ludwig Schröder	http://www.wikidata.org/entity/Q213877	https://d-nb.info/gnd/118610813	Der Ring	Ein Lustspiel in fünf Aufzügen	283–284	1786	1786	Wien				
210	Friedrich Ludwig Schröder	http://www.wikidata.org/entity/Q213877	https://d-nb.info/gnd/118610813	Der Vetter in Lissabon	Ein bürgerliches Familiengemälde in drei Aufzügen	285–286	1786			http://www.wikidata.org/entity/Q51451355	https://www.goodreads.com/work/editions/13858237		https://dracor.org/id/ger000382
211	Johann Gottlieb Schummel	http://www.wikidata.org/entity/Q1694208	https://d-nb.info/gnd/118762648	Das Duell	Ein Lustspiel in Drey Aufzügen	286–287	1773	1779-05-10	Hamburg				
212	Friedrich Julius Heinrich von Soden	http://www.wikidata.org/entity/Q103911	https://d-nb.info/gnd/118852027	Ernst, Graf von Gleichen, Gatte zweyer Weiber	Ein Schauspiel in fünf Aufzügen	287–288	1791						
213	Friedrich Julius Heinrich von Soden	http://www.wikidata.org/entity/Q103911	https://d-nb.info/gnd/118852027	Ignez de Castro	Ein Trauerspiel	288–289	1784						
214	Joseph Valentin Edler von Speckner	http://www.wikidata.org/entity/Q95005281	https://d-nb.info/gnd/117482331	Darius	Ein Trauerspiel in einem Aufzuge	290	1775	1774-09-19	Schrobenhausen	http://www.wikidata.org/entity/Q95569070			
215	Christian Heinrich Spieß	http://www.wikidata.org/entity/Q91589	https://d-nb.info/gnd/118961446	Marie Stuart	Ein Trauerspiel in fünf Aufzügen	291–292	1784	1784	Wien				
216	Johann Heinrich Steffens	http://www.wikidata.org/entity/Q55126939	https://d-nb.info/gnd/117226807	Clarissa	Ein bürgerliches Trauerspiel, in drei Aufzügen	292–293	1765	1765	Celle				
217	Charlotte von Stein	http://www.wikidata.org/entity/Q64201	https://d-nb.info/gnd/118617222	Dido	Ein Trauerspiel in fünf Aufzügen	294–295	1867						
218	Johann Gottlieb Stephanie d. J.	http://www.wikidata.org/entity/Q78822	https://d-nb.info/gnd/119545799	Der Deserteur aus kindlicher Liebe	Ein Lustspiel in drey Aufzügen	295–196	1776	1773	Wien				
219	Friedrich Leopold zu Stolberg-Stolberg	http://www.wikidata.org/entity/Q213737	https://d-nb.info/gnd/118755552	Timoleon	Ein Trauerspiel mit Chören	296–297	1784						
220	Helfrich Peter Sturz	http://www.wikidata.org/entity/Q1602121	https://d-nb.info/gnd/118619756	Julie	Ein Trauerspiel in fünf Aufzügen	298	1767	1767-10-15	Hamburg				
221	Ludwig Tieck	http://www.wikidata.org/entity/Q57239	https://d-nb.info/gnd/12989432X	Der gestiefelte Kater	Kindermährchen in drei Akten, mit Zwischenspielen, einem Prologe und Epiloge	299–300	1797	1844-04-20	Berlin	http://www.wikidata.org/entity/Q1198710		https://d-nb.info/gnd/4325631-4	https://dracor.org/id/ger000285
222	Ludwig Tieck	http://www.wikidata.org/entity/Q57239	https://d-nb.info/gnd/12989432X	Prinz Zerbino oder die Reise nach dem guten Geschmack, gewissermaßen eine Fortsetzung des gestiefelten Katers	Spiel in sechs Aufzügen	301	1799			http://www.wikidata.org/entity/Q55021950		https://d-nb.info/gnd/1163624179	https://dracor.org/id/ger000259
223	Ludwig Tieck	http://www.wikidata.org/entity/Q57239	https://d-nb.info/gnd/12989432X	Die verkehrte Welt	Ein historisches Schauspiel in fünf Aufzügen	302–303	1799	1975	Berlin	http://www.wikidata.org/entity/Q55999055		https://d-nb.info/gnd/1042648468	https://dracor.org/id/ger000313
224	Joseph August von Toerring	http://www.wikidata.org/entity/Q1675559	https://d-nb.info/gnd/118802399	Agnes Bernauerinn	Ein vaterländisches Trauerspiel	304–305	1780	1781-01-06	Mannheim				
225	Joseph August von Toerring	http://www.wikidata.org/entity/Q1675559	https://d-nb.info/gnd/118802399	Kaspar Der Thöringer	Ein historisches Schauspiel in fünf Aufzügen	305–306	1785						
226	Friedrich von der Trenck	http://www.wikidata.org/entity/Q84363	https://d-nb.info/gnd/118623796	Araxane	Ein erdichtetes Trauerspiel	306–307	1754	1754	Wien				
227	Adam Gottfried Uhlich	http://www.wikidata.org/entity/Q349537	https://d-nb.info/gnd/118625101	Der Schlendrian, oder des berühmten Boockesbeutels Tod und Testament	Ein Lustspiel von drey Aufzügen	307–308	1746						
228	Adam Gottfried Uhlich	http://www.wikidata.org/entity/Q349537	https://d-nb.info/gnd/118625101	Ulysses oder Der für todt gehaltene aber endlich glücklich wieder gefundene Ehe-Gemahl	Ein Trauerspiel	309	1751	1730	Wien				
229	Johann Christoph Unzer	http://www.wikidata.org/entity/Q18957711	https://d-nb.info/gnd/117311251	Die neue Emma	Ein Lustspiel in drei Aufzügen	310–311	1782						
230	Christian August Vulpius	http://www.wikidata.org/entity/Q65376	https://d-nb.info/gnd/118770489	Die Männer der Republik	Ein Lustspiel in zwei Aufzügen	311–312	1788						
231	Heinrich Leopold Wagner	http://www.wikidata.org/entity/Q62880	https://d-nb.info/gnd/11862833X	Die Kindermörderinn	Ein Trauerspiel	312–315	1776	1777	Preßburg				
232	Heinrich Leopold Wagner	http://www.wikidata.org/entity/Q62880	https://d-nb.info/gnd/11862833X	Prometheus, Deukalion und seine Recensenten	Voran ein Prologus und zulezt ein Epilogus	315–316	1775						
233	Heinrich Leopold Wagner	http://www.wikidata.org/entity/Q62880	https://d-nb.info/gnd/11862833X	Die Reue nach der That	Ein Schauspiel	316–317	1775	1777-12-05	Hamburg	http://www.wikidata.org/entity/Q55999240	https://www.goodreads.com/work/editions/42672736		https://dracor.org/id/ger000264
234	Paul Weidmann	http://www.wikidata.org/entity/Q114260	https://d-nb.info/gnd/119497921	Johann Faust	Ein allegorisches Drama in fünf Aufzügen	317–319	1775	1775	Prag	http://www.wikidata.org/entity/Q52929139			https://dracor.org/id/ger000014
235	Paul Weidmann	http://www.wikidata.org/entity/Q114260	https://d-nb.info/gnd/119497921	Mosthadem, oder der Fanatismus	Ein deutsches Originaltrauerspiel in Versen von fünf Aufzügen	319–320	1772						
236	Paul Weidmann	http://www.wikidata.org/entity/Q114260	https://d-nb.info/gnd/119497921	Usanquei, oder die Patrioten in Sina	Ein deutsches Originaltrauerspiel in Versen von fünf Aufzügen	320–321	1771						
237	Christian Weise	http://www.wikidata.org/entity/Q90798	https://d-nb.info/gnd/118630369	Ein wunderliches Schau-Spiel vom Niederländischen Bauer, welchem der berühmte Printz Philippus Bonus zu einem galanten Traume geholffen hat		322–323	1700	1685-11-25	Zittau				
238	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Atreus und Thyest	Ein Trauerspiel in fünf Aufzügen	323–325	1766	1767-01-28	Leipzig	http://www.wikidata.org/entity/Q52928953			https://dracor.org/id/ger000291
239	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Die Befreiung von Theben	Ein Trauerspiel in fünf Aufzügen	325–326	1764						
240	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Der Fanatismus, oder: Jean Calas	Ein historisches Schauspiel in fünf Aufzügen	326–327	1780	1780-08-03	Berlin	http://www.wikidata.org/entity/Q135012597			
241	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Mustapha und Zeangir	Ein Trauerspiel in fünf Aufzügen	328–329	1763	1763	Leipzig				
242	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Die Poeten nach der Mode	Ein Lustspiel in drey Aufzügen	329–330	1756	1751	Leipzig				
243	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Richard der Dritte	Ein Trauerspiel in fünf Aufzügen	330–332	1759	1759	Hamburg				
244	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Romeo und Julie	Ein bürgerliches Trauerspiel in fünf Aufzügen	332–333	1768	1767-04-27	Leipzig	http://www.wikidata.org/entity/Q133838971			
245	Christian Felix Weiße	http://www.wikidata.org/entity/Q68815	https://d-nb.info/gnd/118630563	Rosemunde	Ein Trauerspiel in fünf Aufzügen	334–335	1763	1767-02-03	Hamburg				
246	Christoph Martin Wieland	http://www.wikidata.org/entity/Q154010	https://d-nb.info/gnd/118632477	Clementia von Porretta	Ein Drama aus Richardsons Geschichte Sir Karl Grandisons gezogen	335–336	1760						
247	Christoph Martin Wieland	http://www.wikidata.org/entity/Q154010	https://d-nb.info/gnd/118632477	Lady Johanna Gray	Ein Trauer-Spiel	336–337	1758	1758-07-20	Winterthur	http://www.wikidata.org/entity/Q52928044		 https://d-nb.info/gnd/4219363-1 	https://dracor.org/id/ger000445
248	Christoph Martin Wieland	http://www.wikidata.org/entity/Q154010	https://d-nb.info/gnd/118632477	Pandora	Ein Lustspiel in zwey Aufzügen	337–338	1779						
249	Caroline von Wolzogen	http://www.wikidata.org/entity/Q75960	https://d-nb.info/gnd/118771272	Der leukadische Fels	Ein Schauspiel	338–339	1792						
250	Heinrich Zschokke	http://www.wikidata.org/entity/Q66207	https://d-nb.info/gnd/118637266	Abällino der grosse Bandit	Ein Trauerspiel in fünf Aufzügen	340	1795	1795	Weimar				
251	Heinrich Zschokke	http://www.wikidata.org/entity/Q66207	https://d-nb.info/gnd/118637266	Charlotte Corday oder die Rebellion von Calvados	Ein republikanisches Trauerspiel in vier Akten. (Aus den Zeiten der französischen Revolution.) In Jamben	341	1794						
