List Number	Series Number	Author	Author Wikidata ID	Author GND ID	Title	Work Wikidata ID	Work Goodreads ID	Work GND ID	Publication Date	Publication Country
1		Virginia Woolf	Q40909	118635174	Mrs. Dalloway	Q752584	841320	4316776-7	1925	Großbritannien
2		André Gide	Q47484	118539124	Die Falschmünzer	Q276722	2314411	4264662-5	1925	Frankreich
3		Ernest Hemingway	Q23434	118549030	Fiesta	Q501351	589497	4254325-3	1926	USA
4		Isaak Babel	Q49080	118651390	Die Reiterarmee	Q1393060	2684188	4099120-9	1926	UdSSR
5		Marcel Proust	Q7199	118596799	Die wiedergefundene Zeit	Q3227619	849134	4135521-0	1927	Frankreich
6		Nella Larsen	Q453665	119320606	Seitenwechsel	Q15052495	2369306	4518707-1	1929	USA
7		William Faulkner	Q38392	118532081	Licht im August	Q1823273	1595500	4305506-0	1932	USA
8		Louis-Ferdinand Céline	Q151820	118519867	Reise ans Ende der Nacht	Q774233	1551463	4266523-1	1932	Frankreich
9		André Malraux	Q151164	118576844	So lebt der Mensch	Q1618413	105859	4302989-9	1933	Frankreich
10		Bruno Schulz	Q148886	118762427	Die Zimtläden	Q3182978	902938		1934	Polen
11		F. Scott Fitzgerald	Q93354	118533592	Zärtlich ist die Nacht	Q247372	8272	4214395-0	1934	USA
12		Djuna Barnes	Q234721	118657283	Nachtgewächs	Q11918676	828739	4418339-2	1936	USA
13		Halldór Laxness	Q80321	118570382	Weltlicht	Q19706563	145240	1059725711	{1937,1938,1939,1940}	Island
14		Jean-Paul Sartre	Q9364	11860564X	Der Ekel	Q658288	1319935	4099334-6	1938	Frankreich
15		Georges Simenon	Q128790	118614401	Der Mann, der den Zügen nachsah	Q360734	161221	123499819X	1938	Belgien
16		James Joyce	Q6882	118558501	Finnegans Wake	Q6507	322098	4114086-2	1939	Irland
17		Albert Camus	Q34670	118518739	Der Fremde	Q163297	3324344	4236814-5	1942	Frankreich
18		Jorge Luis Borges	Q909	118513532	Fiktionen	Q2483432	1007116	4305460-2	1944	Argentinien
19		Ivo Andrić	Q47561	118503014	Die Brücke über die Drina	Q1247865	6989	4139694-7	1945	Jugoslawien
20		Primo Levi	Q153670	118572326	Ist das ein Mensch?	Q836036	851110	4241434-9	1947	Italien
21		Nagib Machfus	Q7176	118576259	Die Midaq-Gasse	Q510850	1679431	7737118-5	1947	Ägypten
22		Raymond Queneau	Q218690	118597302	Stilübungen	Q2712266	310551	4325657-0	1947	Frankreich
23		Anthony Powell	Q573813	118793144	Eine Frage der Erziehung	Q4659102	1847340	1138813109	1951	Großbritannien
24		Natalia Ginzburg	Q275985	118539426	Alle unsere Gestern	Q1777264	68918	1088013449	1952	Italien
25		Simone de Beauvoir	Q7197	118507877	Die Mandarins von Paris	Q1214721	20761		1954	Frankreich
26	0	J. R. R. Tolkien	Q892	118623222	Der Herr der Ringe	Q15228	3462456	4124318-3	{1954;1955}	Großbritannien
26	1	J. R. R. Tolkien	Q892	118623222	Die Gefährten	Q208002	3204327	4675755-7	1954	Großbritannien
26	2	J. R. R. Tolkien	Q892	118623222	Die zwei Türme	Q332388	2963845	4675756-9	1954	Großbritannien
26	3	J. R. R. Tolkien	Q892	118623222	Die Rückkehr des Königs	Q332581	2964424	4675758-2	1955	Großbritannien
27		Patricia Highsmith	Q270635	11855087X	Der talentierte Mr. Ripley	Q472026	1817520	4737524-3	1955	USA
28		Vladimir Nabokov	Q36591	118586114	Lolita	Q127149	1268631	4251287-6	1955	USA
29		James Baldwin	Q273210	118506196	Giovannis Zimmer	Q5563645	814207	4399296-1	1956	USA
30		Jack Kerouac	Q160534	118561561	Unterwegs	Q743180	1701188	4398329-7	1957	USA
31		Chinua Achebe	Q155845	118646680	Alles zerfällt	Q622400	825843	4443314-1	1958	Nigeria
32		Giuseppe Tomasi di Lampedusa	Q213482	120871114	Der Leopard	Q1193736	1132275	4281792-4	1958	Italien
33		Richard Yates	Q544611	119432471	Zeiten des Aufruhrs	Q1393977	1235136	7565207-9	1961	USA
34		Kobo Abe	Q186273	118915088	Die Frau in den Dünen	Q6455599	58336	1204524262	1962	Japan
35		Doris Lessing	Q40874	118572113	Das goldene Notizbuch	Q784986	99441	4099289-5	1962	Rhodesien
36		Giorgio Bassani	Q318309	118657496	Die Gärten der Finzi-Contini	Q533391	345967	4497740-2	1962	Italien
37		John Le Carré	Q209641	119029375	Der Spion, der aus der Kälte kam	Q468071	1177001	1144658209	1963	Großbritannien
38		Sylvia Plath	Q133054	118594877	Die Glasglocke	Q1213085	1385044	4388145-2	1963	USA
39		Clarice Lispector	Q235955	118780158	Die Passion nach G. H.	Q9558465	717921	1207576042	1964	Brasilien
40		Thomas Pynchon	Q35155	118597221	Die Versteigerung von No. 49	Q2344707	1477756	4339997-6	1966	USA
41		Jean Rhys	Q230598	118600184	Die weite Sargassosee	Q2268151	142647	4397794-7	1966	Dominica
42		Michail Bulgakow	Q835	118517376	Der Meister und Margarita	Q188538	876183	4244970-4	1967	UdSSR
43		Tove Ditlevsen	Q270333	118526030	Kopenhagen-Trilogie	Q85806847	62438608	1364054833	{1967;1971}	Dänemark
44		Gabriel García Márquez	Q5878	118537601	Hundert Jahre Einsamkeit	Q178869	3295655	4123253-7	1967	Kolumbien
45		Imre Kertész	Q47755	119204290	Roman eines Schicksallosen	Q655701	309125	4873837-2	1975	Ungarn
46		Alexander Sinowjew	Q449538	118826875	Gähnende Höhen	Q8050482	1565884	1088026125	1976	UdSSR
47		Italo Calvino	Q154756	118518542	Wenn ein Reisender in einer Winternacht	Q1032190	1116802	4257232-0	1979	Italien
48		José Saramago	Q37060	118964038	Hoffnung im Alentejo	Q1433232	864506	4676898-1	1980	Portugal
49		Wassili Grossman	Q313767	118958356	Leben und Schicksal	Q979609	2435598	4307515-0	1980	UdSSR
50		Pramoedya Ananta Toer	Q326935	122314263	Garten der Menschheit	Q18670097	1881100	1079364676	1980	Indonesien
51		Umberto Eco	Q12807	11852884X	Der Name der Rose	Q172850	3138328	4099176-3	1980	Italien
52		Salman Rushdie	Q44306	118873520	Mitternachtskinder	Q625764	1024288	1232420573	1981	Indien
53		John Updike	Q105756	118803492	Bessere Verhältnisse	Q549152	3101473	4202236-8	1981	USA
54		Octavio Paz	Q46739	118739743	Sor Juana oder Die Fallstricke des Glaubens	Q6132509	14114	1088025021	1982	Mexiko
55		Fernando Pessoa	Q173481	118740113	Das Buch der Unruhe	Q2632627	983806	4575098-1	1982	Portugal
56		Isabel Allende	Q83566	118869159	Das Geisterhaus	Q1168267	3374404	4317469-3	1982	Chile
57		Maryse Condé	Q464371	11897503X	Segu – Die Mauern aus Lehm	Q42195439	537815	4345441-0	1984	Guadeloupe (Fr.)
58		Don DeLillo	Q310048	118889664	Weißes Rauschen	Q2623505	327422	4430496-1	1985	USA
59		Toni Morrison	Q72334	118911627	Beloved	Q971767	736076	4301577-3	1987	USA
60		Haruki Murakami	Q134798	119037092	Naokos Lächeln	Q751348	2956680	1204462577	1987	Japan
61		Nicholson Baker	Q1929421	11900450X	Rolltreppe oder Die Herkunft der Dinge	Q7751221	2340174	1162150599	1988	USA
62		António Lobo Antunes	Q333849	118845489	Die Rückkehr der Karavellen	Q56304713	702555	1205165460	1988	Portugal
63		Zülfü Livaneli	Q248059	119272903	Der Eunuch von Konstantinopel	Q6086228	14082890		1996	Türkei
64		Mircea Cărtărescu	Q442931	119559153	Die Wissenden	Q722313	794118	1077776403	1996	Rumänien
65		Arundhati Roy	Q212801	115693424	Der Gott der kleinen Dinge	Q378786	810135	4595927-4	1997	Indien
66		Anne Carson	Q2633699	122416309	Rot	Q4826169	1396256	1027485227	1998	Kanada
67		Per Olov Enquist	Q311476	119430592	Der Besuch des Leibarztes	Q1192495	267228	1103235788	1999	Schweden
68		J. M. Coetzee	Q43293	118895117	Schande	Q958560	1882981	4924651-3	1999	Südafrika
69		Philip Roth	Q187019	118803433	Der menschliche Makel	Q2258908	1118624	7543864-1	2000	USA
70		Jonathan Franzen	Q316607	124075746	Die Korrekturen	Q335645	941200	7580478-5	2001	USA
71		Mo Yan	Q8998	11926689X	Die Sandelholzstrafe	Q3227457	6611008	1230087060	2001	China
72		Amos Oz	Q151872	118855379	Eine Geschichte von Liebe und Finsternis	Q1124669	28189	120921346X	2002	Israel
73		Norman Manea	Q702268	120121549	Die Rückkehr des Hooligan	Q3226439	274670		2003	Rumänien
74		Joanne K. Rowling	Q34660	122340469	Harry Potter und der Orden des Phoenix	Q80817	2809203	4815810-0	2003	Großbritannien
75		Roberto Bolaño	Q297532	120894076	2666	Q219437	3294830	1045769193	2004	Chile
76		Kazuo Ishiguro	Q272855	119484978	Alles, was wir geben mussten	Q951587	1499998	7705755-7	2005	Großbritannien
77		Péter Nádas	Q336698	118899791	Parallelgeschichten	Q642354	15735508	1022836277	2005	Ungarn
78		Joan Didion	Q267691	118884131	Das Jahr magischen Denkens	Q993664	1659905	1195541538	2005	USA
79		Ngũgĩ wa Thiong’o	Q302910	118587587	Herr der Krähen	Q8028753	848502	7675378-5	2006	Kenia
80		Cormac McCarthy	Q272610	118873822	Die Straße	Q1140295	3355573	7698101-0	2006	USA
81		Cixin Liu	Q607588	1072055163	Die drei Sonnen	Q607112	25696480		2008	China
82		Annie Ernaux	Q1153825	119012278	Die Jahre	Q3230588	3110233	1148791590	2008	Frankreich
83		Marie NDiaye	Q237106	115522352	Drei starke Frauen	Q3539985	7011163	102828845X	2009	Frankreich
84		Karl Ove Knausgård	Q609317	133516512	Sterben	Q11989533	7412679	1092213015	2009	Norwegen
85		Michel Houellebecq	Q103114	121383261	Karte und Gebiet	Q1734550	13583341		2010	Frankreich
86		Elena Ferrante	Q368127	113749678	Meine geniale Freundin	Q22263533	19174054	1113212020	2011	Italien
87		Chimamanda Ngozi Adichie	Q230141	12975479X	Americanah	Q16154159	21519538	1076129900	2013	Nigeria
88		Kamel Daoud	Q3192364	101345300X	Der Fall Meursault	Q20723935	41116368	1084012405	2013	Algerien
89		Olga Tokarczuk	Q254032	122302885	Die Jakobsbücher	Q21076759	42744390	119758000X	2014	Polen
90		Mathias Énard	Q339677	13652236X	Kompass	Q21328484	45503082	1269643908	2015	Frankreich
91		Hanya Yanagihara	Q20902324	1076098886	Ein wenig Leben	Q20709044	42375710	1136388494	2015	USA
92		Adania Shibli	Q17070404	140821775	Eine Nebensache	Q110894372	72313584	1264680325	2017	Israel/Palästina
93		Tsitsi Dangarembga	Q270837	123228050	Überleben	Q114761904	58190643	1252843984	2018	Simbabwe
94		Rachel Cusk	Q3416087	120077973	Kudos	Q133519965	57520233		2018	Großbritannien
95		Sally Rooney	Q54861296	1140458604	Normale Menschen	Q55360383	59141209	1222522101	2018	Irland
96		Hervé Le Tellier	Q1393315	139659781	Die Anomalie	Q99328730	84339980	1238312039	2020	Frankreich
97		Mohamed M. Sarr	Q22212196	1072709309	Die geheimste Erinnerung der Menschen	Q109375803	92719156	1284644065	2021	Senegal
98		Han Kang	Q5646626	1038023009	Unmöglicher Abschied	Q131247017	92792887	1353598713	2021	Südkorea
99		Hernan Diaz	Q100329021	1216833761	Treue	Q114761914	91248878		2022	USA
100		Ocean Vuong	Q18355929	1117836657	Der Kaiser der Freude	Q132168280	225566947		2025	USA
